cause_group,code,EventTitle,reports
Caught in or crushed,642,Compressed or pinched by shifting objects or equipment,914
Caught in or crushed,6412,Caught in running equipment or machinery during regular operation,400
Caught in or crushed,640,"Caught in or compressed by equipment or objects, unspecified",189
Caught in or crushed,6411,"Caught in running equipment or machinery during maintenance, cleaning",167
Caught in or crushed,653,"Caught, entangled in running powered equipment normal operation",113
Caught in or crushed,664,Caught or wedged between objects nonrunning,102
Caught in or crushed,651,Excavation or trenching cave-in,78
Caught in or crushed,655,"Struck, caught, or crushed in other collapsing structure or equipment",66
Caught in or crushed,6410,"Caught in running equipment or machinery, unspecified",42
Caught in or crushed,6419,"Caught in running equipment or machinery, n.e.c.",42
Caught in or crushed,644,Entangled in other object or equipment,42
Caught in or crushed,6261,Struck by or caught in swinging door or gate,34
Caught in or crushed,654,Compressed between running equipment and other object(s),27
Caught in or crushed,649,"Caught in or compressed by equipment or objects, n.e.c.",19
Caught in or crushed,632,"Collapse, engulfment open trench or excavation",18
Caught in or crushed,634,"Collapse, engulfment building or structure",9
Caught in or crushed,643,Compressed or pinched between two stationary objects,7
Caught in or crushed,639,"Collapse, engulfment n.e.c.",6
Caught in or crushed,4410,"Jump from collapsing structure or equipment, unspecified",3
Caught in or crushed,662,Entangled in non-running object,3
Caught in or crushed,659,"Struck, caught, or crushed in collapsing structure, equipment, or material, n.e.c.",2
Caught in or crushed,650,"Struck, caught, or crushed in collapsing structure, equipment, or material, unspecified",1
Caught in or crushed,656,Engulfment in other collapsing material,1
Electrical,5110,"Direct exposure to electricity, unspecified",317
Electrical,5112,"Direct exposure to electricity, greater than 220 volts",287
Electrical,5122,"Indirect exposure to electricity, greater than 220 volts",91
Electrical,513,Exposure to electric arc,72
Electrical,5112,Direct exposure to electricity greater than 220 volts,43
Electrical,5111,"Direct exposure to electricity, 220 volts or less",26
Electrical,5120,"Indirect exposure to electricity, unspecified",26
Electrical,5122,Indirect exposure to electricity greater than 220 volts,26
Electrical,510,"Exposure to electricity, unspecified",25
Electrical,5110,Direct exposure to electricity unspecified,20
Electrical,510,Exposure to electricity unspecified,9
Electrical,5111,Direct exposure to electricity 220 volts or less,9
Electrical,5120,Indirect exposure to electricity unspecified,6
Electrical,5121,Indirect exposure to electricity 220 volts or less,1
Electrical,5121,"Indirect exposure to electricity, 220 volts or less",1
Fall to lower level,4330,"Other fall to lower level, unspecified",1757
Fall to lower level,4332,Other fall to lower level 6 to 10 feet,816
Fall to lower level,4331,Other fall to lower level less than 6 feet,663
Fall to lower level,4333,Other fall to lower level 11 to 15 feet,600
Fall to lower level,4142,Other fall to lower level 6 to 30 feet,379
Fall to lower level,4334,Other fall to lower level 16 to 20 feet,354
Fall to lower level,4140,Other fall to lower level unspecified,292
Fall to lower level,4320,"Fall through surface or existing opening, unspecified",221
Fall to lower level,4323,Fall through surface or existing opening 11 to 15 feet,156
Fall to lower level,4335,Other fall to lower level 21 to 25 feet,131
Fall to lower level,4141,Other fall to lower level less than 6 feet,129
Fall to lower level,4112,Fall to lower level from collapsing structure or equipment 6 to 30 feet,126
Fall to lower level,4337,Other fall to lower level more than 30 feet,117
Fall to lower level,4324,Fall through surface or existing opening 16 to 20 feet,114
Fall to lower level,4310,"Fall from collapsing structure or equipment, unspecified",101
Fall to lower level,4110,Fall to lower level from collapsing structure or equipment unspecified,93
Fall to lower level,4336,Other fall to lower level 26 to 30 feet,91
Fall to lower level,4322,Fall through surface or existing opening 6 to 10 feet,87
Fall to lower level,430,"Fall to lower level, unspecified",60
Fall to lower level,4312,Fall from collapsing structure or equipment 6 to 10 feet,57
Fall to lower level,4420,"Other jump to lower level, unspecified",40
Fall to lower level,4313,Fall from collapsing structure or equipment 11 to 15 feet,36
Fall to lower level,4326,Fall through surface or existing opening 26 to 30 feet,35
Fall to lower level,4325,Fall through surface or existing opening 21 to 25 feet,34
Fall to lower level,4327,Fall through surface or existing opening more than 30 feet,33
Fall to lower level,45,Fall or jump curtailed by personal fall arrest system,31
Fall to lower level,4120,Fall to lower level resulting from exposure or contact unspecified,26
Fall to lower level,4321,Fall through surface or existing opening less than 6 feet,26
Fall to lower level,4143,Other fall to lower level more than 30 feet,25
Fall to lower level,4311,Fall from collapsing structure or equipment less than 6 feet,22
Fall to lower level,4111,Fall to lower level from collapsing structure or equipment less than 6 feet,17
Fall to lower level,4122,Fall to lower level resulting from exposure or contact 6 to 30 feet,17
Fall to lower level,4314,Fall from collapsing structure or equipment 16 to 20 feet,17
Fall to lower level,4421,Other jump to lower level less than 6 feet,17
Fall to lower level,4315,Fall from collapsing structure or equipment 21 to 25 feet,15
Fall to lower level,4113,Fall to lower level from collapsing structure or equipment more than 30 feet,11
Fall to lower level,4121,Fall to lower level resulting from exposure or contact less than 6 feet,10
Fall to lower level,4130,Fall to lower level resulting in exposure or contact unspecified,8
Fall to lower level,4316,Fall from collapsing structure or equipment 26 to 30 feet,7
Fall to lower level,4317,Fall from collapsing structure or equipment more than 30 feet,7
Fall to lower level,410,Fall to lower level unspecified,6
Fall to lower level,4422,Other jump to lower level 6 to 10 feet,6
Fall to lower level,419,Fall to lower level caught self or curtailed,4
Fall to lower level,4423,Other jump to lower level 11 to 15 feet,4
Fall to lower level,4131,Fall to lower level resulting in exposure or contact less than 6 feet,3
Fall to lower level,4132,Fall to lower level resulting in exposure or contact 6 to 30 feet,2
Fall to lower level,4133,Fall to lower level resulting in exposure or contact more than 30 feet,1
Fall to lower level,4424,Other jump to lower level 16 to 20 feet,1
Fall to lower level,4425,Other jump to lower level 21 to 25 feet,1
"Fire, explosion or burn",533,Contact with hot objects or substances,191
"Fire, explosion or burn",317,"Ignition of vapors, gases, or liquids",92
"Fire, explosion or burn",314,Ignition of clothing from controlled heat source,30
"Fire, explosion or burn",323,"Explosion of pressure vessel, piping, or tire",30
"Fire, explosion or burn",310,"Fire, unspecified",23
"Fire, explosion or burn",313,Vehicle or machinery fire,16
"Fire, explosion or burn",327,Flash fire,16
"Fire, explosion or burn",329,"Explosion, n.e.c.",12
"Fire, explosion or burn",320,"Explosion, unspecified",11
"Fire, explosion or burn",324,Vehicle or machinery fire,11
"Fire, explosion or burn",315,Small-scale (limited) fire,10
"Fire, explosion or burn",313,"Explosion of pressure vessel, piping, or tire",9
"Fire, explosion or burn",319,"Nonstructural fire, n.e.c.",7
"Fire, explosion or burn",322,"Explosion of nonpressurized vapors, gases, or liquids",7
"Fire, explosion or burn",326,Ignition of clothing,7
"Fire, explosion or burn",314,"Explosion of nonpressurized vapors, gases, or liquids",4
"Fire, explosion or burn",320,Fire unspecified,4
"Fire, explosion or burn",324,Demolition or blasting explosion,4
"Fire, explosion or burn",310,Explosion unspecified,3
"Fire, explosion or burn",253,Explosion or fire on water vehicle,2
"Fire, explosion or burn",30,"Fire or explosion, unspecified",2
"Fire, explosion or burn",312,Other structural fire without collapse,2
"Fire, explosion or burn",319,Explosion n.e.c.,2
"Fire, explosion or burn",2241,"Fires, explosions onboard water vehicle in normal operation",1
"Fire, explosion or burn",325,"Fire small-scale, limited",1
Heat stress,531,Exposure to environmental heat,500
Heat stress,5312,Exposure to environmental heat outdoor,85
Heat stress,5311,Exposure to environmental heat indoor,11
Heat stress,5310,Exposure to environmental heat unspecified,9
Other,5544,"Exposure through intact skin, eyes, or other exposed tissue",62
Other,5521,Inhalation of harmful substance-single episode,61
Other,1311,Stings and venomous bites,42
Other,7111,Overexertion in lifting-single episode,24
Other,710,"Overexertion involving outside sources, unspecified",19
Other,1113,"Hitting, kicking, beating, shoving",17
Other,714,Overexertion while materials moving by hand,16
Other,5553,Exposure through intact tissue,13
Other,6321,Stepped on object,13
Other,1310,"Bites and stings, unspecified",11
Other,7311,"Bending, crawling, reaching, twisting-single episode",11
Other,7313,Climbing or stepping up or down-single episode,11
Other,534,Contact with cold objects or substances,10
Other,70,"Overexertion and bodily reaction, unspecified",10
Other,7121,"Overexertion in pushing, pulling, or turning-single episode",9
Other,1219,"Injury by other person-unintentional or intent unknown, n.e.c.",8
Other,553,Ingestion of harmful substance,8
Other,5531,Inhalation of harmful substance single episode or single shift,7
Other,718,Multiple types of overexertion involving outside sources,7
Other,1112,"Stabbing, cutting, slashing, piercing",6
Other,7131,"Overexertion in holding, carrying, or wielding-single episode",6
Other,1111,Shooting by other person-intentional,5
Other,6212,"Venomous animal bite except ""bugs""",5
Other,7351,"Walking, without other incident-single episode",5
Other,1313,"Other animal bites, nonvenomous",4
Other,50,"Exposure to harmful substances or environments, unspecified",4
Other,550,"Exposure to other harmful substances, unspecified",4
Other,733,"Twisting, reaching, bending",4
